Altium Designer Pick and Place Locations
C:\Users\mrankin\Dropbox\Arduino_PCB\ESP32_C3\1.54inch_eink\Project Outputs for Rev2\Pick Place for PCB_Rev2.csv

========================================================================================================================
File Design Information:

Date:       07-09-22
Time:       10:22
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Manufacturer","Part_Footprint","Part_Number","PartFootprint","PartNumber","Value","Vendor"
"C26","100uF","TopLayer","CAPC3216X160N","19.2961","26.4203","180","CAP 100uF 1206","","1206","","","","100uF",""
"R12","10K","TopLayer","RESC0603X40L_(0201_footprint)","12.8700","23.4330","0","RES 10K 0201","","","","0201","","10K",""
"U4","SHTC3","TopLayer","DFN-4_(2.0mm_X_2.0mm)","34.7646","23.3210","0","Humidity/Temperature Sensor","Sensirion","","SHTC3","","","Temp/Humid","LCSC"
"C25","0.1uF","TopLayer","CAPC0603X56N","34.6956","25.2260","0","CAP 0.1uF 0201","","0201","","","","0.1uF",""
"R4","2.2R","TopLayer","RESC0603X40L_(0201_footprint)","15.0796","25.2970","270","RES 2.2R 0201","","","","0201","","2.2R",""
"L1","68uH","TopLayer","INDUCTOR,_3mmX3mm","7.9470","27.1670","180","INDUCTOR 68uH 20% 4mmx4mm","SXN","4mmx4mm","C135265","","","68uH","LCSC"
"J2","24POS Flex Connector","TopLayer","687124182122","11.0000","15.9000","90","CONN FFC TOP/BOT 24POS 0.50MM R/A","Wurth","","687124182122","","","24POS Flex Connector","Digi-Key"
"H1","QWiiC","TopLayer","SM04B-SRSS-TB","31.1070","28.6660","180","CONN HEADER 4POS .100 R/A QWIIC","JST","","PRT-14417","","","QWiiC","Digi-Key"
"D4","MBR0520-TP","TopLayer","SOD123","12.8902","27.4970","180","DIODE SCHOTTKY 20V 500MA SOD-123","Micro","SOD-123","C78746","","","MBR0520","LCSC"
"D3","MBR0520-TP","TopLayer","SOD123","14.4192","30.3170","180","DIODE SCHOTTKY 20V 500MA SOD-123","Micro","SOD-123","C78746","","","MBR0520","LCSC"
"D2","MBR0520-TP","TopLayer","SOD123","8.1708","30.3170","180","DIODE SCHOTTKY 20V 500MA SOD-123","Micro","SOD-123","C78746","","","MBR0520","LCSC"
"C13","1uF","TopLayer","CAPC0603X56N","12.6920","21.6500","180","CAP 1uF 0201","","0201","","","","1uF",""
"C12","1uF","TopLayer","CAPC0603X56N","12.6920","20.6500","180","CAP 1uF 0201","","0201","","","","1uF",""
"C9","1uF","TopLayer","CAPC0603X56N","12.6920","19.6500","180","CAP 1uF 0201","","0201","","","","1uF",""
"C8","1uF","TopLayer","CAPC0603X56N","12.6920","18.6500","180","CAP 1uF 0201","","0201","","","","1uF",""
